timestamp,vel_x,vel_y,state_estimate_x,state_estimate_y,state_estimate_vx,state_estimate_vy,raw_x,raw_y,z,alpha_x,alpha_y,lm_x,lm_y
83181,0.001416127821755003,0.20419633814708119,-0.003449711250141263,0.0018765188287943602,0.002687653759494424,-0.01670096255838871,0.0014161292388005255,0.20419633835166498,0.3676111698150635,1.0,1.0,0.0,0.25
83271,0.004755518282483469,0.16295805645541048,-0.004416074138134718,0.0020417356863617897,-0.0036528788041323423,-0.009633386507630348,0.004755523041083495,0.16295805661867768,0.38666832447052,1.0,1.0,0.0,0.25
83381,0.0013586806371630406,0.16177318290866358,-0.0032260383013635874,-0.0017201575683429837,0.001458538114093244,0.028297917917370796,0.0013586819967241507,0.16177318307074368,0.4161972999572754,1.0,1.0,0.0,0.25
83481,0.001456458520949588,0.13745151115253396,-0.004113918635994196,0.0027920552529394627,0.005004364065825939,0.07390419393777847,0.0014564599783519455,0.13745151129024624,0.4422666132450104,1.0,1.0,0.0,0.25
83571,0.0005179097860267442,0.12249261567384231,-0.004036190919578075,0.00923445075750351,0.005862494930624962,0.10484253615140915,0.0005179103042721541,0.12249261579656735,0.46497902274131775,1.0,1.0,0.0,0.25
83671,0.0022385530538042765,0.0997928652472244,-0.005429279524832964,0.025167936459183693,0.00480510201305151,0.1359194666147232,0.0022385552938079915,0.09979286534720662,0.48461732268333435,1.0,1.0,0.0,0.25
83771,0.0025061711325650806,0.09188470334387233,-0.005044114775955677,0.037715841084718704,0.002633163006976247,0.1412028968334198,0.002506173640360301,0.09188470343593136,0.5040468573570251,1.0,1.0,0.0,0.25
83881,0.005881105394384053,0.08696761387645001,-0.006924218498170376,0.051359254866838455,-0.00161161704454571,0.13054798543453217,0.0058811112793006135,0.08696761396358263,0.5170708894729614,1.0,1.0,0.0,0.25
83991,0.008766722232638437,0.08886815608478316,-0.009197104722261429,0.061249636113643646,-0.003919794224202633,0.10782486945390701,0.008766731005041817,0.0888681561738199,0.5274149179458618,1.0,1.0,0.0,0.25
84081,0.0054158101905272486,0.08515882710921328,-0.009264979511499405,0.07212752103805542,-0.003896219888702035,0.09786558151245117,0.005415815609847075,0.08515882719453367,0.5336094498634338,1.0,1.0,0.0,0.25
84181,0.007503488759239671,0.0827786828147131,-0.01037608366459608,0.08161798864603043,0.00014509646280203015,0.0858692079782486,0.007503496267590957,0.08277868289764882,0.5349446535110474,1.0,1.0,0.0,0.25
84281,0.0077761144963540705,0.08623971009497419,-0.012912638485431671,0.08548007905483246,0.0034943935461342335,0.07127820700407028,0.007776122277507765,0.08623971018137751,0.5335316061973572,1.0,1.0,0.0,0.25
84381,0.006208780947511312,0.0836388888974808,-0.013670474290847778,0.09075415134429932,0.00831953901797533,0.06658925861120224,0.0062087871603157705,0.08363888898127837,0.5358115434646606,1.0,1.0,0.0,0.25
84481,0.004691852153890766,0.08425473055190207,-0.013406104408204556,0.09264679998159409,0.012604421004652977,0.06287296116352081,0.004691856848783406,0.08425473063631665,0.5388946533203125,1.0,1.0,0.0,0.25
84581,0.009145504510976529,0.08002228506386587,-0.016923248767852783,0.09664859622716904,0.009174073114991188,0.06615839153528214,0.00914551366240765,0.08002228514403997,0.5418189764022827,1.0,1.0,0.0,0.25
84691,0.012350298179164054,0.07320080159169638,-0.020300477743148804,0.10322442650794983,0.005296822637319565,0.07121238857507706,0.012350298191537787,0.07320080166503606,0.5469070672988892,1.0,1.0,0.0,0.25
84781,0.008011020044192635,0.06940790976719002,-0.019867632538080215,0.10833394527435303,0.005275795701891184,0.07375441491603851,0.008011028060404103,0.06940790983672962,0.5474758744239807,1.0,1.0,0.0,0.25
84881,0.012216755688561804,0.06337613307367586,-0.021015675738453865,0.1155361756682396,0.007267923094332218,0.07408883422613144,0.01221675570080174,0.06337613313717223,0.5456039905548096,1.0,1.0,0.0,0.25
84981,0.010792273628731154,0.06129540029043283,-0.02106509357690811,0.12175559997558594,0.008904232643544674,0.06988245248794556,0.010792273639543904,0.061295400351844526,0.5459263324737549,1.0,1.0,0.0,0.25
85081,0.012803696241633513,0.05728200219873256,-0.023586293682456017,0.12936808168888092,0.009537167847156525,0.06587919592857361,0.012803696254461504,0.05728200225612324,0.5456292629241943,1.0,1.0,0.0,0.25
85181,0.015148987827839584,0.053224848359858364,-0.026277203112840652,0.13674916326999664,0.008128129877150059,0.06330550462007523,0.015148987843017315,0.05322484841318421,0.547279417514801,1.0,1.0,0.0,0.25
85281,0.012425792552352464,0.056552484497042095,-0.024578474462032318,0.1387321501970291,0.010386422276496887,0.05326489359140396,0.012425792564801834,0.05655248455370188,0.5476675629615784,1.0,1.0,0.0,0.25
85381,0.03674355783153478,0.05519442636684298,-0.04036889597773552,0.14185987412929535,-0.016856595873832703,0.04901605471968651,0.03674355786834805,0.05519442642214213,0.5470640659332275,1.0,1.0,0.0,0.25
85491,0.02754558816989769,0.04962388560903016,-0.03887545317411423,0.1478588879108429,-0.007428643759340048,0.05291123315691948,0.02754558819749554,0.04962388565874821,0.548105001449585,1.0,1.0,0.0,0.25
85581,0.024955875841014753,0.043782378402725315,-0.04006390646100044,0.15336698293685913,0.0042459783144295216,0.057632025331258774,0.02495587586601798,0.043782378446590754,0.5471864342689514,1.0,1.0,0.0,0.25
85691,0.019662942263147305,0.03686514440938558,-0.04025775566697121,0.16014644503593445,0.019121114164590836,0.0613945797085762,0.01966294228284755,0.03686514444632067,0.54774409532547,1.0,1.0,0.0,0.25
