timestamp,vel_x,vel_y,state_estimate_x,state_estimate_y,state_estimate_vx,state_estimate_vy,raw_x,raw_y,z,alpha_x,alpha_y,lm_x,lm_y
14237,-0.1700331189061231,-0.03970684941091144,0.14888010919094086,0.2704353630542755,-0.0019439785974100232,-0.02613888494670391,-0.1700331190764788,-0.03970684945069362,0.3951651155948639,1.0,1.0,0.0,0.25
14337,0.009539662696251632,-0.030100040044364167,0.14249198138713837,0.2687240242958069,-0.022038282826542854,-0.025278810411691666,0.009539672242096366,-0.030100040074521318,0.4171353280544281,1.0,1.0,0.0,0.25
14437,-0.17431023428827247,-0.05912144438508902,0.14350669085979462,0.26741379499435425,-0.04398875683546066,-0.027723703533411026,-0.1743102344629134,-0.059121444444322636,0.4402918517589569,1.0,1.0,0.0,0.25
14537,-0.019127552958869885,-0.0031495327159068174,0.13013699650764465,0.2612850069999695,-0.06643743813037872,-0.037255141884088516,-0.01912755297803373,-0.0031495358674805424,0.4662525951862335,1.0,1.0,0.0,0.25
14637,-0.055813670149202056,0.03816850002727626,0.12768539786338806,0.26138031482696533,-0.08343557268381119,-0.03770299628376961,-0.055813670205121624,0.038168500065517176,0.48246678709983826,1.0,1.0,0.0,0.25
14747,-0.1370386303633332,0.06465907172238813,0.11988400667905807,0.25925278663635254,-0.07826045155525208,-0.027349179610610008,-0.13703863050063184,0.0646590717871699,0.4968262314796448,1.0,1.0,0.0,0.25
14847,0.07118487964638043,-0.06145360249958897,0.11189080774784088,0.2550482451915741,-0.07545803487300873,-0.012764936313033104,0.07118487971770036,-0.06145360256115917,0.5067110061645508,1.0,1.0,0.0,0.25
14957,-0.11678011561002474,0.048537273519660966,0.11254271864891052,0.24854114651679993,-0.06509140133857727,0.0007015218725427985,-0.11678011572702643,0.04853727356829034,0.5176187753677368,1.0,1.0,0.0,0.25
15057,-0.06644261727789934,0.036267930650620075,0.10506623238325119,0.2501530349254608,-0.04141881316900253,0.004290035460144281,-0.06644261734446802,0.03626793068695682,0.5236836671829224,1.0,1.0,0.0,0.25
15167,0.013456997488964935,0.020135285844990983,0.10674497485160828,0.2485087513923645,-0.032839350402355194,0.012334798462688923,0.013456997502447467,0.020135285865164467,0.5293927788734436,1.0,1.0,0.0,0.25
15277,-0.058233864265130074,0.002653121934559777,0.12258652597665787,0.24104589223861694,-0.004503263626247644,0.008763302117586136,-0.05823386432347443,0.0026531245894010277,0.5371138453483582,1.0,1.0,0.0,0.25
15377,-0.048821538055148536,-0.0015790129845597587,0.10628342628479004,0.23887968063354492,-0.0263576190918684,0.010382314212620258,-0.048821538104062714,-0.0015790145645959998,0.540868878364563,1.0,1.0,0.0,0.25
15477,-0.028598914345625913,-0.03331811296179058,0.10301289707422256,0.24205166101455688,-0.03476251661777496,0.01619046926498413,-0.02859891437427909,-0.033318112995171914,0.5424250960350037,1.0,1.0,0.0,0.25
15577,-0.12171184382771967,-0.015646358188118745,0.11285911500453949,0.23660315573215485,-0.01949201337993145,0.001997650833800435,-0.12171184394966243,-0.015646358203794793,0.5418229699134827,1.0,1.0,0.0,0.25
15677,0.012386444803646902,0.018576576860791946,0.10335195064544678,0.236955925822258,-0.03785125911235809,-0.005991487298160791,0.01238644481605685,0.01857657687940377,0.5429272055625916,1.0,1.0,0.0,0.25
15787,-0.11374756289686655,-0.021395494917712254,0.10409844666719437,0.24039095640182495,-0.04970141127705574,-0.004047845955938101,-0.11374756301082993,-0.02139549493914834,0.5425826907157898,1.0,1.0,0.0,0.25
15887,-0.013987708435167077,-0.05104010397444105,0.09590300917625427,0.23768536746501923,-0.05540299043059349,-0.0058122961781919,-0.013987708449181326,-0.051040104025578,0.5407933592796326,1.0,1.0,0.0,0.25
15997,-0.04950701484754443,0.004548357982821108,0.09000261127948761,0.23695537447929382,-0.06731095165014267,-0.009184549562633038,-0.04950701489714538,0.004548362534126587,0.541756272315979,1.0,1.0,0.0,0.25
16097,-0.09298284255590815,0.05364847574613286,0.08181688189506531,0.2419854998588562,-0.06353341042995453,-0.005258381832391024,-0.09298284264906741,0.05364847579988313,0.5446755290031433,1.0,1.0,0.0,0.25
16207,-0.0009233286301660734,-0.010320088676623118,0.07131166011095047,0.24695266783237457,-0.06519804149866104,0.0058107441291213036,-0.0009233295540930532,-0.010320088686962785,0.5455465912818909,1.0,1.0,0.0,0.25
16307,-0.055479632401900285,0.027113187601424737,0.06783031672239304,0.24434663355350494,-0.06204284727573395,0.010751187801361084,-0.05547963245748518,0.02711318762858937,0.5459563136100769,1.0,1.0,0.0,0.25
16417,0.00409326912547473,-0.01367984763148866,0.04969364032149315,0.2535962164402008,-0.0714917778968811,0.02763913758099079,0.004093273221396439,-0.013679847645194462,0.5441589951515198,1.0,1.0,0.0,0.25
16517,-0.00471602900467667,0.004698819030513322,0.0495421402156353,0.249790757894516,-0.05303408205509186,0.019635947421193123,-0.004716033723761828,0.004698823732377354,0.5429730415344238,1.0,1.0,0.0,0.25
16617,-0.07427689640708848,0.013870759588951918,0.04559163376688957,0.251880019903183,-0.0338367335498333,0.015117144212126732,-0.0742768964815063,0.013870759602848995,0.545215368270874,1.0,1.0,0.0,0.25
16727,0.0748620603788474,0.03227026027022953,0.030176961794495583,0.2501991391181946,-0.04018474370241165,0.002982689533382654,0.0748620604538515,0.03227026030256101,0.5446904301643372,1.0,1.0,0.0,0.25
16827,0.04042518740035955,-0.0031796996465886917,0.0331285260617733,0.2523767054080963,-0.025124672800302505,0.0034456716384738684,0.04042518744086143,-0.003179702828348897,0.5462214350700378,1.0,1.0,0.0,0.25
