timestamp,vel_x,vel_y,state_estimate_x,state_estimate_y,state_estimate_vx,state_estimate_vy,raw_x,raw_y
14702,0.8110200229357031,0.7770790979389394,-0.034113459289073944,0.0062703900039196014,0.014886136166751385,0.014872541651129723,0.8110200229357031,0.7770790979389394
14802,0.6639267439306333,0.6387986835359422,-0.026844944804906845,0.010818482376635075,0.04234558343887329,0.03521674871444702,0.6639267439306333,0.6387986835359422
14902,0.6615099323722196,0.639655327416847,-0.021612439304590225,0.01213495060801506,0.21154585480690002,0.21086499094963074,0.6615099323722196,0.639655327416847
15012,0.5734451986367707,0.5521997227984302,0.014870887622237206,0.04662168771028519,0.4081806540489197,0.4075659513473511,0.5734451986367707,0.5521997227984302
15112,0.47393282993524166,0.4512899866103099,0.06046667695045471,0.09364277124404907,0.5535408854484558,0.568305253982544,0.47393282993524166,0.4512899866103099
15212,0.4086522819328226,0.3757616292251628,0.11961718648672104,0.15684588253498077,0.6206091046333313,0.6543315649032593,0.4086522819328226,0.3757616292251628
15322,0.35601024550640104,0.31553058519410987,0.18110528588294983,0.22442616522312164,0.603954553604126,0.6475422382354736,0.35601024550640104,0.31553058519410987
15432,0.3284984355311342,0.2859564641908948,0.23933933675289154,0.2846984565258026,0.5362228155136108,0.5707001090049744,0.3284984355311342,0.2859564641908948
15532,0.3205547028427588,0.27908273915223275,0.28580158948898315,0.33207422494888306,0.4549418091773987,0.4733186364173889,0.3205547028427588,0.27908273915223275
15642,0.32324568618374366,0.287751553027066,0.32510945200920105,0.37002718448638916,0.3714357018470764,0.3670022785663605,0.32324568618374366,0.287751553027066
15742,0.32207655426660675,0.29957450951923253,0.356580525636673,0.39882567524909973,0.31880930066108704,0.2971916198730469,0.32207655426660675,0.29957450951923253
15852,0.33715396949535353,0.3063734081492336,0.3757001757621765,0.4165479242801666,0.27577799558639526,0.24653854966163635,0.33715396949535353,0.3063734081492336
15952,0.31554623951510985,0.3018720621854754,0.3784773647785187,0.4209795296192169,0.2444027215242386,0.21831542253494263,0.31554623951510985,0.3018720621854754
16052,0.3354337392434592,0.3116857393569451,0.3920576274394989,0.43588870763778687,0.2512800395488739,0.2281256765127182,0.3354337392434592,0.3116857393569451
16152,0.30937214211660025,0.2893584194712246,0.41705530881881714,0.457740843296051,0.2784419655799866,0.2539365291595459,0.30937214211660025,0.2893584194712246
16252,0.2791446647009904,0.2651876875943371,0.4447593688964844,0.48000073432922363,0.30743545293807983,0.2765806317329407,0.2791446647009904,0.2651876875943371
16362,0.2533292298744955,0.24259577822463613,0.47800958156585693,0.5072588920593262,0.324832022190094,0.2899247705936432,0.2533292298744955,0.24259577822463613
16462,0.22563025429242667,0.21897115661795735,0.5089935660362244,0.533001720905304,0.322005957365036,0.28923431038856506,0.22563025429242667,0.21897115661795735
16572,0.20898791888793206,0.206364276731756,0.5415194630622864,0.5596241354942322,0.30188241600990295,0.27232155203819275,0.20898791888793206,0.206364276731756
16672,0.1946677654162484,0.1962190012630439,0.5687852501869202,0.5848126411437988,0.27326348423957825,0.25312161445617676,0.1946677654162484,0.1962190012630439
16782,0.194066871321193,0.18835030354108523,0.597011387348175,0.6079933643341064,0.24287725985050201,0.23118822276592255,0.194066871321193,0.18835030354108523
16882,0.1801095915814654,0.17942161787466143,0.6123069524765015,0.6210650205612183,0.20753848552703857,0.20299774408340454,0.1801095915814654,0.17942161787466143
16982,0.18610701819859085,0.17890819139699193,0.6340047121047974,0.6405306458473206,0.19366395473480225,0.1919339895248413,0.18610701819859085,0.17890819139699193
17082,0.17686562325350397,0.17283102407247564,0.6514730453491211,0.6566163301467896,0.18114803731441498,0.18093407154083252,0.17686562325350397,0.17283102407247564
17192,0.16586261628155835,0.16043912607799538,0.6699317097663879,0.6770374774932861,0.17562800645828247,0.17870689928531647,0.16586261628155835,0.16043912607799538
17302,0.1532743625708152,0.151405753487672,0.6884769797325134,0.695809006690979,0.1748535931110382,0.1759006828069687,0.1532743625708152,0.151405753487672
17402,0.14183185375090035,0.14009824361941106,0.7094301581382751,0.7107506990432739,0.17932374775409698,0.1682158261537552,0.14183185375090035,0.14009824361941106
17512,0.13126789667913602,0.12947502130308236,0.7260664701461792,0.7317989468574524,0.1711026281118393,0.16449883580207825,0.13126789667913602,0.12947502130308236
17612,0.12038104262118082,0.11857571986506635,0.7407280206680298,0.7450255751609802,0.16002795100212097,0.15090312063694,0.12038104262118082,0.11857571986506635
17712,0.11156368549512041,0.11388643854467359,0.7580909132957458,0.7628549337387085,0.15130627155303955,0.14383073151111603,0.11156368549512041,0.11388643854467359
17812,0.10558527211617959,0.10589420993266643,0.7739639282226562,0.7768052220344543,0.1412253975868225,0.1333618313074112,0.10558527211617959,0.10589420993266643
17922,0.10460501746121827,0.10209067992271958,0.789188802242279,0.7930442690849304,0.12737879157066345,0.12671220302581787,0.10460501746121827,0.10209067992271958
18022,0.09235176221685308,0.09086624482851434,0.8037668466567993,0.8050289154052734,0.12026730924844742,0.117672860622406,0.09235176221685308,0.09086624482851434
18132,0.08755640226928449,0.08754986002492707,0.8157154321670532,0.8166462779045105,0.11054020375013351,0.10730686783790588,0.08755640226928449,0.08754986002492707
18232,0.07708376249221577,0.08184399987323987,0.8266927003860474,0.8253932595252991,0.10361125320196152,0.09626024216413498,0.07708376249221577,0.08184399987323987
18342,0.07730520343743766,0.08028955426081419,0.839256763458252,0.8363913893699646,0.0990428477525711,0.08997831493616104,0.07730520343743766,0.08028955426081419
